                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4382,                 2.9884,                0.24772,                  1.944,                 1.4895,                 0.9916,                      1,                  0.995,                0.74738,                 0.9916,                      1,                  0.995,                0.49336,                0.79124,                 1.3695,                0.03858,                 1.4535,                 1.0036,             0.00051677,             0.00051677,             0.00051677
                      2,                0.85695,                 2.4018,                0.19109,                 1.0202,                 1.0059,                0.99726,                      1,                  0.995,                0.90152,                0.99726,                      1,                  0.995,                0.58099,                0.49924,                 1.4723,                 0.0355,                0.85599,                0.93333,              0.0010398,              0.0010398,              0.0010398
                      3,                0.85703,                 2.5808,                0.18447,                0.86751,                 1.0091,                0.99819,                      1,                  0.995,                0.83598,                0.99819,                      1,                  0.995,                0.81857,                0.63495,                 0.7669,                 0.0276,                0.65828,                0.98861,              0.0015523,              0.0015523,              0.0015523
                      4,                0.79141,                 2.3788,                0.15288,                0.75014,                0.99485,                0.99818,                      1,                  0.995,                 0.9146,                0.99818,                      1,                  0.995,                0.56948,                 0.5184,                 1.4394,                0.03254,                0.63443,                0.92348,              0.0016175,              0.0016175,              0.0016175
                      5,                0.74118,                 2.2658,                0.15069,                0.67771,                0.96759,                0.99784,                      1,                  0.995,                0.88363,                0.99784,                      1,                  0.995,                0.78315,                 0.5224,                0.77636,                0.01827,                0.67826,                0.97444,              0.0016175,              0.0016175,              0.0016175
                      6,                0.69618,                 2.0196,                0.13269,                  0.592,                0.95756,                0.99827,                      1,                  0.995,                0.86521,                0.99827,                      1,                  0.995,                0.64717,                0.56638,                 1.3209,                0.03179,                0.51297,                0.97319,               0.001601,               0.001601,               0.001601
                      7,                0.70167,                 2.0589,                0.13113,                 0.5891,                0.95521,                  0.998,                      1,                  0.995,                0.92091,                  0.998,                      1,                  0.995,                0.83223,                0.44183,                 0.9083,                0.02025,                0.44521,                 0.8825,              0.0015845,              0.0015845,              0.0015845
                      8,                0.72343,                 2.0665,                0.14135,                0.57874,                0.96022,                0.99826,                      1,                  0.995,                0.91383,                0.99826,                      1,                  0.995,                0.91053,                0.43773,                0.65796,                0.01228,                 0.4066,                0.89001,               0.001568,               0.001568,               0.001568
                      9,                0.65709,                  1.883,                0.12605,                0.52686,                0.94873,                0.99793,                      1,                  0.995,                0.92432,                0.99793,                      1,                  0.995,                 0.8767,                0.41069,                0.59814,                0.02256,                0.46828,                0.87867,              0.0015515,              0.0015515,              0.0015515
                     10,                0.67414,                  2.029,                0.13398,                0.54117,                0.94915,                0.99806,                      1,                  0.995,                0.89754,                0.99806,                      1,                  0.995,                0.82022,                0.48738,                 1.0214,                0.01322,                0.44267,                0.91625,               0.001535,               0.001535,               0.001535
                     11,                0.64952,                 1.8712,                0.12738,                0.51889,                0.94254,                0.99822,                      1,                  0.995,                0.84274,                0.99822,                      1,                  0.995,                0.60495,                0.47271,                 1.1166,                0.01397,                0.44884,                0.89351,              0.0015185,              0.0015185,              0.0015185
                     12,                0.59486,                 1.6047,                0.12406,                  0.473,                0.92259,                0.99805,                      1,                  0.995,                0.91835,                0.99805,                      1,                  0.995,                0.89786,                0.35873,                0.74603,                0.00637,                  0.379,                0.83719,               0.001502,               0.001502,               0.001502
                     13,                0.60806,                  1.743,                0.13195,                0.48117,                0.93906,                0.99825,                      1,                  0.995,                 0.9391,                0.99825,                      1,                  0.995,                0.79085,                0.43362,                0.87833,                0.01885,                0.36004,                0.87571,              0.0014855,              0.0014855,              0.0014855
                     14,                 0.6194,                 1.6508,                0.12105,                0.46914,                0.93002,                0.99807,                      1,                  0.995,                0.91558,                0.99807,                      1,                  0.995,                0.84688,                0.41013,                0.63795,                0.01411,                0.31252,                0.85216,               0.001469,               0.001469,               0.001469
                     15,                0.60303,                 1.5735,                0.11883,                0.47928,                0.92556,                0.99818,                      1,                  0.995,                0.91871,                0.99818,                      1,                  0.995,                0.89073,                0.42318,                0.56366,                0.01163,                0.29942,                0.85642,              0.0014525,              0.0014525,              0.0014525
                     16,                0.59281,                 1.6461,                0.10999,                0.45726,                0.92181,                0.99817,                      1,                  0.995,                0.91397,                0.99817,                      1,                  0.995,                0.86325,                 0.3829,                 0.5542,                0.00797,                0.30871,                0.84187,               0.001436,               0.001436,               0.001436
                     17,                0.59105,                 1.6164,                0.11766,                0.46043,                0.91913,                0.99795,                      1,                  0.995,                0.92741,                0.99795,                      1,                  0.995,                0.93351,                0.39992,                0.42297,                 0.0085,                0.32847,                0.86448,              0.0014195,              0.0014195,              0.0014195
                     18,                0.57903,                  1.538,                0.10549,                0.42981,                 0.9139,                0.99822,                      1,                  0.995,                0.91023,                0.99822,                      1,                  0.995,                0.91503,                0.41751,                0.46655,                0.01092,                0.31595,                0.86454,              0.0014029,              0.0014029,              0.0014029
                     19,                 0.5955,                  1.679,                0.11823,                0.44247,                0.90963,                0.99797,                      1,                  0.995,                0.92252,                0.99797,                      1,                  0.995,                 0.9299,                0.40469,                0.45381,                0.00954,                0.32454,                 0.8395,              0.0013864,              0.0013864,              0.0013864
                     20,                0.59233,                 1.6438,                0.10219,                0.43843,                0.91842,                0.99819,                      1,                  0.995,                0.88582,                0.99819,                      1,                  0.995,                0.81391,                0.43535,                0.53358,                0.01558,                0.32904,                0.86885,              0.0013699,              0.0013699,              0.0013699
                     21,                0.55983,                 1.4884,                0.10821,                0.41512,                0.91579,                0.99823,                      1,                  0.995,                0.88575,                0.99823,                      1,                  0.995,                0.80292,                0.46133,                0.67066,                 0.0072,                0.34942,                0.90432,              0.0013534,              0.0013534,              0.0013534
                     22,                0.55389,                 1.3921,                0.09858,                0.41379,                0.90781,                0.99801,                      1,                  0.995,                0.89524,                0.99801,                      1,                  0.995,                0.59639,                0.40454,                0.91226,                0.02294,                 0.2675,                0.86182,              0.0013369,              0.0013369,              0.0013369
                     23,                0.55286,                 1.5462,                0.10364,                0.41294,                0.90828,                0.99817,                      1,                  0.995,                0.91827,                0.99817,                      1,                  0.995,                 0.9538,                0.42643,                0.40258,                0.00847,                0.27843,                 0.8544,              0.0013204,              0.0013204,              0.0013204
                     24,                0.53598,                 1.3787,                0.09666,                0.40028,                 0.9003,                0.99816,                      1,                  0.995,                0.97624,                0.99816,                      1,                  0.995,                0.89415,                0.29209,                 0.4332,                0.01017,                0.27547,                0.81303,              0.0013039,              0.0013039,              0.0013039
                     25,                0.52955,                 1.4856,                 0.1047,                0.39731,                0.89087,                 0.9978,                      1,                  0.995,                0.90981,                 0.9978,                      1,                  0.995,                0.85178,                0.43296,                0.48137,                0.00382,                0.27645,                0.85983,              0.0012874,              0.0012874,              0.0012874
                     26,                0.53669,                 1.3672,                0.10311,                0.39363,                0.90091,                0.99807,                      1,                  0.995,                0.95272,                0.99807,                      1,                  0.995,                0.71398,                0.37446,                 1.1071,                0.01872,                0.30208,                0.83324,              0.0012709,              0.0012709,              0.0012709
                     27,                  0.523,                 1.4069,                0.10169,                0.39444,                0.89821,                0.99813,                      1,                  0.995,                0.92094,                0.99813,                      1,                  0.995,                0.90995,                 0.4735,                0.57131,                0.01613,                0.36355,                0.87759,              0.0012544,              0.0012544,              0.0012544
                     28,                0.50085,                 1.2938,                0.09486,                0.37973,                0.88246,                0.99817,                      1,                  0.995,                0.92414,                0.99817,                      1,                  0.995,                0.89624,                0.43885,                0.50665,                0.00788,                 0.2895,                0.86066,              0.0012379,              0.0012379,              0.0012379
                     29,                0.54935,                 1.3487,                0.10889,                0.39317,                0.90813,                 0.9982,                      1,                  0.995,                0.96521,                 0.9982,                      1,                  0.995,                0.92726,                 0.3183,                0.45816,                0.01844,                0.25774,                0.81978,              0.0012214,              0.0012214,              0.0012214
                     30,                0.52336,                 1.2521,                0.10284,                0.37921,                0.89709,                0.99809,                      1,                  0.995,                0.91015,                0.99809,                      1,                  0.995,                 0.8279,                0.40527,                0.48348,                 0.0102,                0.27171,                0.84838,              0.0012049,              0.0012049,              0.0012049
                     31,                0.53942,                 1.3995,                 0.1027,                0.38969,                0.90181,                0.99812,                      1,                  0.995,                0.96787,                0.99812,                      1,                  0.995,                0.87624,                0.30976,                0.46845,                 0.0126,                0.23146,                0.80629,              0.0011884,              0.0011884,              0.0011884
                     32,                0.51546,                 1.3575,                0.10877,                0.38444,                0.89176,                0.99814,                      1,                  0.995,                0.96436,                0.99814,                      1,                  0.995,                0.97748,                0.26055,                 0.2836,                0.00463,                 0.2348,                0.79708,              0.0011719,              0.0011719,              0.0011719
                     33,                0.50876,                  1.304,                0.09046,                0.37107,                0.88504,                0.99815,                      1,                  0.995,                 0.9455,                0.99815,                      1,                  0.995,                0.97146,                0.40713,                0.31496,                 0.0103,                0.29209,                0.86004,              0.0011554,              0.0011554,              0.0011554
                     34,                0.49528,                 1.2012,                0.10149,                0.36389,                0.89699,                0.99814,                      1,                  0.995,                0.92287,                0.99814,                      1,                  0.995,                0.83654,                0.43965,                0.59954,                0.00339,                0.27548,                0.85451,              0.0011389,              0.0011389,              0.0011389
                     35,                0.48646,                 1.2328,                0.09725,                0.35611,                0.86873,                0.99811,                      1,                  0.995,                0.90529,                0.99811,                      1,                  0.995,                0.88703,                0.44176,                0.52934,                0.00402,                0.29757,                0.86053,              0.0011224,              0.0011224,              0.0011224
                     36,                0.51903,                 1.2527,                0.10604,                 0.3673,                0.89756,                0.99795,                      1,                  0.995,                0.93143,                0.99795,                      1,                  0.995,                0.85916,                0.38538,                0.51965,                 0.0144,                0.27448,                0.84719,              0.0011059,              0.0011059,              0.0011059
                     37,                0.52098,                 1.3408,                0.10299,                0.38045,                0.90695,                0.99821,                      1,                  0.995,                0.96733,                0.99821,                      1,                  0.995,                0.96599,                0.37046,                0.34236,                0.00454,                0.28476,                0.83369,              0.0010894,              0.0010894,              0.0010894
                     38,                0.50316,                 1.1763,                0.09211,                0.36654,                 0.8962,                0.99811,                      1,                  0.995,                0.96121,                0.99811,                      1,                  0.995,                0.98494,                0.42276,                0.30711,                0.00804,                0.27467,                0.85059,              0.0010729,              0.0010729,              0.0010729
                     39,                0.48978,                 1.1906,                0.08997,                0.35931,                0.88759,                0.99819,                      1,                  0.995,                0.94014,                0.99819,                      1,                  0.995,                0.94404,                0.42429,                0.42279,                0.00498,                0.24544,                0.86176,              0.0010564,              0.0010564,              0.0010564
                     40,                0.46671,                 1.1986,                 0.0932,                0.34979,                0.88163,                0.99816,                      1,                  0.995,                0.94269,                0.99816,                      1,                  0.995,                0.96425,                0.34039,                0.35417,                0.00627,                0.24054,                0.81952,              0.0010399,              0.0010399,              0.0010399
                     41,                0.48096,                 1.2437,                0.10235,                0.35475,                0.87989,                0.99814,                      1,                  0.995,                0.89708,                0.99814,                      1,                  0.995,                0.91918,                 0.4316,                0.42881,                0.00457,                 0.3209,                0.84898,              0.0010234,              0.0010234,              0.0010234
                     42,                0.46326,                 1.1501,                0.08931,                0.34711,                0.87017,                0.99809,                      1,                  0.995,                0.90332,                0.99809,                      1,                  0.995,                0.92588,                0.49287,                0.42175,                0.01225,                0.27544,                0.87481,              0.0010069,              0.0010069,              0.0010069
                     43,                0.48319,                 1.2686,                 0.1008,                0.36387,                0.89602,                0.99788,                      1,                  0.995,                 0.9369,                0.99788,                      1,                  0.995,                 0.9295,                0.36037,                0.46648,                0.00595,                0.26619,                0.83191,             0.00099036,             0.00099036,             0.00099036
                     44,                0.46944,                 1.0852,                0.08717,                0.34765,                0.87863,                0.99814,                      1,                  0.995,                0.90608,                0.99814,                      1,                  0.995,                0.86213,                0.49896,                0.51298,                0.00735,                0.30012,                0.88129,             0.00097386,             0.00097386,             0.00097386
                     45,                0.49606,                 1.2046,                 0.0926,                0.35814,                0.88797,                0.99796,                      1,                  0.995,                0.93507,                0.99796,                      1,                  0.995,                0.95688,                0.39127,                0.31014,                0.00674,                0.24829,                0.85095,             0.00095736,             0.00095736,             0.00095736
                     46,                0.49386,                 1.2046,                0.09678,                0.36136,                0.89324,                      1,                      1,                  0.995,                0.93927,                      1,                      1,                  0.995,                0.96608,                0.37934,                0.32441,                0.00577,                0.27968,                0.83135,             0.00094085,             0.00094085,             0.00094085
                     47,                0.46808,                 1.0563,                  0.084,                0.33007,                 0.8742,                0.99819,                      1,                  0.995,                0.94889,                0.99819,                      1,                  0.995,                0.91648,                0.32111,                 0.3682,                0.00452,                0.24624,                0.81541,             0.00092435,             0.00092435,             0.00092435
                     48,                0.47736,                 1.1252,                0.08532,                0.34179,                0.88773,                0.99813,                      1,                  0.995,                0.91693,                0.99813,                      1,                  0.995,                0.84876,                0.42896,                0.50084,                0.00226,                0.26831,                0.84946,             0.00090785,             0.00090785,             0.00090785
                     49,                0.46312,                 1.0645,                0.08295,                0.33211,                0.87987,                0.99817,                      1,                  0.995,                0.92559,                0.99817,                      1,                  0.995,                0.92753,                0.39125,                0.39804,                0.00868,                0.23865,                 0.8296,             0.00089134,             0.00089134,             0.00089134
                     50,                0.45574,                 1.1278,                0.09716,                0.32831,                 0.8874,                0.99817,                      1,                  0.995,                0.95145,                0.99817,                      1,                  0.995,                0.89318,                0.33002,                0.51953,                0.01299,                 0.2077,                0.82359,             0.00087484,             0.00087484,             0.00087484
                     51,                0.43671,                 1.1116,                0.08597,                0.32625,                0.87259,                0.99819,                      1,                  0.995,                0.92246,                0.99819,                      1,                  0.995,                0.87377,                0.45753,                0.45612,                0.00265,                0.24203,                0.86212,             0.00085834,             0.00085834,             0.00085834
                     52,                0.42179,                  1.014,                0.09721,                0.31512,                0.87986,                0.99819,                      1,                  0.995,                0.94185,                0.99819,                      1,                  0.995,                0.99021,                0.39173,                0.26014,                0.00498,                 0.2599,                0.83178,             0.00084184,             0.00084184,             0.00084184
                     53,                0.43031,                0.98739,                0.08095,                 0.3188,                0.87248,                0.99816,                      1,                  0.995,                0.93095,                0.99816,                      1,                  0.995,                0.84989,                0.42061,                0.47679,                0.00464,                0.20701,                0.85211,             0.00082533,             0.00082533,             0.00082533
                     54,                 0.4472,                 1.0022,                0.08486,                0.33208,                0.87585,                0.99815,                      1,                  0.995,                0.94194,                0.99815,                      1,                  0.995,                0.91032,                0.39095,                0.33833,                 0.0044,                 0.2218,                0.83674,             0.00080883,             0.00080883,             0.00080883
                     55,                0.45351,                 0.9957,                0.08432,                0.32472,                0.88504,                0.99799,                      1,                  0.995,                0.91635,                0.99799,                      1,                  0.995,                0.90716,                0.49686,                 0.4135,                0.00564,                0.23354,                0.87028,             0.00079233,             0.00079233,             0.00079233
                     56,                0.44123,                0.93801,                0.08144,                 0.3111,                0.87675,                0.99814,                      1,                  0.995,                0.95531,                0.99814,                      1,                  0.995,                0.99108,                 0.4143,                0.22525,                 0.0092,                0.23181,                0.84206,             0.00077582,             0.00077582,             0.00077582
                     57,                0.43135,                  0.983,                0.08576,                0.32041,                0.86979,                0.99822,                      1,                  0.995,                0.96258,                0.99822,                      1,                  0.995,                0.95378,                0.38767,                0.33589,                0.00501,                 0.2344,                0.83604,             0.00075932,             0.00075932,             0.00075932
                     58,                0.43137,                0.97661,                0.08339,                0.31831,                0.86052,                0.99819,                      1,                  0.995,                 0.9461,                0.99819,                      1,                  0.995,                0.84135,                0.43707,                0.45138,                0.00506,                 0.2167,                0.86237,             0.00074282,             0.00074282,             0.00074282
                     59,                0.42235,                 1.0091,                 0.0751,                0.31084,                0.86728,                0.99817,                      1,                  0.995,                0.95212,                0.99817,                      1,                  0.995,                0.95893,                 0.3217,                0.25351,                0.00336,                 0.2024,                0.81403,             0.00072631,             0.00072631,             0.00072631
                     60,                0.42103,                 1.0186,                0.08478,                0.31031,                 0.8586,                0.99814,                      1,                  0.995,                0.95811,                0.99814,                      1,                  0.995,                0.89928,                0.37627,                0.39904,                0.00544,                0.18984,                 0.8343,             0.00070981,             0.00070981,             0.00070981
                     61,                0.42635,                0.97956,                0.08303,                0.31157,                0.86485,                0.99808,                      1,                  0.995,                0.94176,                0.99808,                      1,                  0.995,                0.95249,                0.38329,                0.33707,                0.00178,                0.22823,                0.83003,             0.00069331,             0.00069331,             0.00069331
                     62,                0.41452,                0.90002,                0.09033,                0.31566,                0.87788,                0.99812,                      1,                  0.995,                0.95815,                0.99812,                      1,                  0.995,                0.88109,                0.32764,                0.45346,                0.00205,                0.20148,                0.81414,              0.0006768,              0.0006768,              0.0006768
                     63,                0.41505,                0.92202,                0.08349,                0.30242,                0.88098,                0.99817,                      1,                  0.995,                 0.9576,                0.99817,                      1,                  0.995,                0.97512,                 0.3824,                0.30463,                0.00512,                 0.2223,                 0.8308,              0.0006603,              0.0006603,              0.0006603
                     64,                0.41812,                0.98379,                0.08103,                 0.3093,                0.86493,                0.99814,                      1,                  0.995,                0.95242,                0.99814,                      1,                  0.995,                 0.8785,                0.32015,                0.43386,                0.00294,                0.21035,                0.81192,              0.0006438,              0.0006438,              0.0006438
                     65,                0.42435,                0.92822,                 0.0805,                0.30875,                0.85775,                0.99818,                      1,                  0.995,                0.93742,                0.99818,                      1,                  0.995,                0.94179,                0.35869,                0.31601,                0.00454,                 0.1932,                0.82087,             0.00062729,             0.00062729,             0.00062729
                     66,                0.39186,                0.87299,                0.07537,                0.29647,                0.84923,                      1,                      1,                  0.995,                0.95068,                      1,                      1,                  0.995,                0.95308,                0.35174,                0.29893,                0.00737,                0.19624,                0.82598,             0.00061079,             0.00061079,             0.00061079
                     67,                0.40662,                0.93779,                0.08277,                0.29563,                0.85472,                      1,                      1,                  0.995,                 0.9673,                      1,                      1,                  0.995,                0.91212,                0.32595,                0.44878,                0.00394,                 0.1858,                0.80689,             0.00059429,             0.00059429,             0.00059429
                     68,                0.39509,                 0.8352,                0.07157,                0.28581,                0.85774,                0.99819,                      1,                  0.995,                0.96956,                0.99819,                      1,                  0.995,                 0.9423,                0.35886,                 0.3527,                0.00838,                0.26814,                0.81911,             0.00057778,             0.00057778,             0.00057778
                     69,                0.41115,                0.92703,                0.07957,                0.30675,                0.86638,                0.99818,                      1,                  0.995,                 0.9641,                0.99818,                      1,                  0.995,                 0.9676,                0.32528,                0.32591,                0.00143,                0.21437,                0.81049,             0.00056128,             0.00056128,             0.00056128
                     70,                0.40126,                0.84831,                0.07733,                0.29016,                0.85272,                0.99818,                      1,                  0.995,                0.98822,                0.99818,                      1,                  0.995,                0.98356,                0.24609,                0.25111,                  0.011,                0.19284,                0.78969,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.4084,                 0.8986,                0.08168,                0.29804,                0.86666,                0.99817,                      1,                  0.995,                0.94909,                0.99817,                      1,                  0.995,                0.95159,                0.36805,                0.31638,                0.00168,                0.19955,                0.81955,             0.00052827,             0.00052827,             0.00052827
                     72,                0.37612,                0.81153,                 0.0826,                0.28245,                0.85329,                 0.9982,                      1,                  0.995,                0.93493,                 0.9982,                      1,                  0.995,                0.92608,                0.35033,                0.29358,                0.00846,                0.21751,                0.82037,             0.00051177,             0.00051177,             0.00051177
                     73,                0.39471,                0.83918,                0.07731,                0.28856,                0.85341,                0.99817,                      1,                  0.995,                0.92054,                0.99817,                      1,                  0.995,                0.89668,                0.39926,                0.43089,                0.00241,                0.21385,                0.83446,             0.00049527,             0.00049527,             0.00049527
                     74,                0.40373,                0.92816,                0.07837,                 0.2937,                0.86911,                0.99817,                      1,                  0.995,                0.95389,                0.99817,                      1,                  0.995,                0.96564,                0.34175,                0.30776,                0.00343,                0.19109,                0.81378,             0.00047876,             0.00047876,             0.00047876
                     75,                0.36219,                0.78329,                0.06795,                0.27468,                0.85195,                0.99818,                      1,                  0.995,                 0.9556,                0.99818,                      1,                  0.995,                0.99006,                0.32374,                0.22194,                0.00213,                0.17589,                0.81177,             0.00046226,             0.00046226,             0.00046226
                     76,                0.38384,                0.81961,                0.06994,                0.27924,                0.85565,                0.99816,                      1,                  0.995,                0.95688,                0.99816,                      1,                  0.995,                0.95312,                0.32896,                0.26654,                0.00382,                 0.1724,                0.81061,             0.00044576,             0.00044576,             0.00044576
                     77,                0.38979,                0.87959,                0.07383,                0.28618,                 0.8655,                0.99817,                      1,                  0.995,                0.97947,                0.99817,                      1,                  0.995,                0.98349,                0.27926,                0.23151,                0.00359,                0.16754,                0.79875,             0.00042925,             0.00042925,             0.00042925
                     78,                0.36466,                  0.766,                0.07574,                0.27544,                0.85725,                 0.9982,                      1,                  0.995,                  0.939,                 0.9982,                      1,                  0.995,                0.91837,                 0.3599,                0.34156,                0.00393,                0.18791,                 0.8259,             0.00041275,             0.00041275,             0.00041275
                     79,                0.35955,                0.76149,                0.06797,                0.26838,                 0.8553,                      1,                      1,                  0.995,                0.96054,                      1,                      1,                  0.995,                0.93643,                0.35839,                0.36006,                0.00375,                 0.1914,                0.82215,             0.00039625,             0.00039625,             0.00039625
                     80,                0.36704,                0.82639,                0.08199,                 0.2708,                 0.8546,                0.99818,                      1,                  0.995,                0.95699,                0.99818,                      1,                  0.995,                0.97673,                0.32758,                0.23138,                0.00205,                0.18275,                0.80959,             0.00037974,             0.00037974,             0.00037974
                     81,                0.35073,                0.74481,                  0.065,                0.26478,                0.84516,                      1,                      1,                  0.995,                 0.9574,                      1,                      1,                  0.995,                0.95423,                0.34864,                0.31086,                0.00305,                0.18728,                0.83058,             0.00036324,             0.00036324,             0.00036324
                     82,                0.35774,                0.74419,                0.07058,                0.26068,                0.85163,                      1,                      1,                  0.995,                0.96119,                      1,                      1,                  0.995,                0.94316,                0.31347,                0.32625,                0.00239,                0.16459,                0.81163,             0.00034674,             0.00034674,             0.00034674
                     83,                 0.3635,                0.76012,                0.08005,                0.26531,                 0.8473,                      1,                      1,                  0.995,                0.95972,                      1,                      1,                  0.995,                 0.9479,                0.36426,                0.33069,                0.00356,                0.20936,                0.82472,             0.00033023,             0.00033023,             0.00033023
                     84,                0.36218,                0.80131,                0.07392,                0.27622,                0.85324,                0.99816,                      1,                  0.995,                0.95743,                0.99816,                      1,                  0.995,                0.98862,                0.33593,                0.19568,                0.00188,                0.18103,                  0.817,             0.00031373,             0.00031373,             0.00031373
                     85,                0.36133,                0.78011,                0.07342,                0.26017,                0.85183,                0.99821,                      1,                  0.995,                0.96149,                0.99821,                      1,                  0.995,                0.95725,                0.33148,                0.30451,                0.00242,                0.19103,                0.81185,             0.00029723,             0.00029723,             0.00029723
                     86,                0.33606,                0.75417,                0.06741,                0.25723,                0.84351,                 0.9982,                      1,                  0.995,                0.95262,                 0.9982,                      1,                  0.995,                0.91523,                0.36585,                0.41592,                 0.0047,                0.20664,                0.83168,             0.00028072,             0.00028072,             0.00028072
                     87,                0.33951,                0.69874,                0.07232,                0.25881,                0.84475,                      1,                      1,                  0.995,                0.95746,                      1,                      1,                  0.995,                0.96447,                0.39932,                0.27155,                0.00363,                0.20003,                0.83796,             0.00026422,             0.00026422,             0.00026422
                     88,                0.33737,                 0.6595,                0.06854,                0.25937,                0.85398,                0.99818,                      1,                  0.995,                0.96243,                0.99818,                      1,                  0.995,                0.94514,                0.34015,                0.35567,                0.00401,                0.20727,                0.81844,             0.00024772,             0.00024772,             0.00024772
                     89,                0.33286,                0.63824,                0.06382,                0.24885,                0.84779,                 0.9982,                      1,                  0.995,                0.96369,                 0.9982,                      1,                  0.995,                 0.9741,                0.35197,                0.31358,                0.00379,                0.20014,                0.82086,             0.00023121,             0.00023121,             0.00023121
                     90,                0.34483,                0.71235,                0.07676,                0.25415,                0.85031,                0.99818,                      1,                  0.995,                0.95915,                0.99818,                      1,                  0.995,                0.96143,                0.34356,                0.30259,                0.00232,                0.20012,                0.81847,             0.00021471,             0.00021471,             0.00021471
                     91,                0.29626,                0.46846,                0.00539,                0.22653,                 0.8027,                0.99816,                      1,                  0.995,                 0.9547,                0.99816,                      1,                  0.995,                0.97439,                0.30943,                 0.2499,                0.00097,                0.16852,                0.80441,             0.00019821,             0.00019821,             0.00019821
                     92,                0.28547,                0.46884,                0.00441,                0.21761,                 0.7996,                0.99819,                      1,                  0.995,                0.95206,                0.99819,                      1,                  0.995,                0.95151,                0.35184,                0.30311,                0.00085,                0.17836,                0.82012,              0.0001817,              0.0001817,              0.0001817
                     93,                0.27348,                0.43724,                0.00285,                0.21223,                0.80322,                0.99816,                      1,                  0.995,                0.95734,                0.99816,                      1,                  0.995,                0.97526,                0.36208,                0.25606,                0.00064,                0.16902,                0.82817,              0.0001652,              0.0001652,              0.0001652
                     94,                0.28337,                0.43702,                0.00213,                0.21293,                0.79238,                 0.9982,                      1,                  0.995,                0.96779,                 0.9982,                      1,                  0.995,                0.98252,                0.34275,                0.25822,                 0.0007,                0.16338,                0.82144,              0.0001487,              0.0001487,              0.0001487
                     95,                0.26804,                0.43359,                0.00267,                0.21118,                0.79419,                 0.9982,                      1,                  0.995,                 0.9569,                 0.9982,                      1,                  0.995,                0.93222,                0.35456,                0.32981,                0.00065,                0.16836,                0.82299,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.2757,                0.42852,                 0.0032,                0.21299,                0.80148,                0.99819,                      1,                  0.995,                 0.9577,                0.99819,                      1,                  0.995,                0.96069,                0.34394,                0.28773,                0.00059,                0.20317,                0.81935,             0.00011569,             0.00011569,             0.00011569
                     97,                0.26614,                0.39907,                0.00239,                0.20678,                0.80056,                0.99819,                      1,                  0.995,                0.95326,                0.99819,                      1,                  0.995,                 0.9763,                0.35955,                0.23082,                0.00061,                0.21015,                0.82352,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.26152,                0.40795,                0.00311,                0.20121,                0.79393,                      1,                      1,                  0.995,                0.95562,                      1,                      1,                  0.995,                0.98183,                0.34626,                0.21829,                0.00058,                0.18921,                0.82308,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.25623,                0.39509,                0.00207,                0.19976,                0.79488,                      1,                      1,                  0.995,                 0.9583,                      1,                      1,                  0.995,                0.98152,                0.35783,                0.21698,                0.00058,                0.18676,                0.82898,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.25483,                0.39459,                0.00266,                0.19896,                 0.7987,                0.99819,                      1,                  0.995,                0.96429,                0.99819,                      1,                  0.995,                 0.9716,                0.35297,                0.24741,                0.00055,                0.17409,                 0.8205,             4.9677e-05,             4.9677e-05,             4.9677e-05
